jobtitle,count
"Account Coordinator",2
"Account Executive",386
"Account Manager",188
"Accountant I",62
"Accountant II",65
"Accountant III",71
"Accountant IV",70
"Accounting Assistant I",74
"Accounting Assistant II",69
"Accounting Assistant III",59
"Accounting Assistant IV",68
Actuary,20
"Administrative Assistant",27
"Administrative Assistant I",154
"Administrative Assistant II",37
"Administrative Assistant III",14
"Administrative Assistant IV",6
"Administrative Officer",45
"Analog Circuit Design manager",36
"Analyst Programmer",290
"Assistant Manager",39
"Assistant Professor",1
"Assistant Trainer",139
"Associate Professor",1
Attorney,33
"Automation Specialist I",22
"Automation Specialist II",26
"Automation Specialist III",11
"Automation Specialist IV",15
"Budget/Accounting Analyst I",120
"Budget/Accounting Analyst II",130
"Budget/Accounting Analyst III",130
"Budget/Accounting Analyst IV",135
"Business Analyst",552
"Business Development Manager",5
"Business Systems Development Analyst",272
"Chief Design Engineer",76
"Community Outreach Specialist",21
"Compensation Analyst",25
"Computer Systems Analyst I",71
"Computer Systems Analyst II",75
"Computer Systems Analyst III",55
"Computer Systems Analyst IV",53
"Content Developer",42
"Content Developer II",43
"Content Developer III",42
"Cost Accountant",240
"Customer Success Manager",151
"Data Coordiator",284
"Data Visualization Specialist",346
"Database Administrator I",64
"Database Administrator II",68
"Database Administrator III",67
"Database Administrator IV",69
"Design Engineer",41
"Desktop Support Technician",242
"Developer I",69
"Developer II",53
"Developer III",62
"Developer IV",59
"Director of Sales",8
Editor,69
"Electrical Engineer",22
"Engineer I",7
"Engineer II",4
"Engineer III",5
"Engineer IV",1
"Executive Assistant",31
"Financial Advisor",26
"Financial Analyst",48
"General Manager",21
"Graphic Designer",9
"Help Desk Operator",70
"Help Desk Technician",266
"HR Manager",162
"Human Resources Analyst",324
"Human Resources Analyst II",477
"Human Resources Assistant I",10
"Human Resources Assistant II",10
"Human Resources Assistant III",13
"Human Resources Assistant IV",9
"Human Resources Manager",53
"Information Systems Manager",31
"Internal Auditor",38
"Junior Trainer",135
"Legal Assistant",16
Librarian,20
"Marketing Assistant",8
"Marketing Manager",1
"Mechanical Systems Engineer",21
"Media Manager I",108
"Media Manager II",41
"Office Assistant I",6
"Office Assistant IV",1
Operator,170
Paralegal,48
"Payment Adjustment Coordinator",16
"Pre-Sales Consultant",169
"Product Engineer",46
"Programmer Analyst I",74
"Programmer Analyst II",77
"Programmer Analyst III",66
"Programmer Analyst IV",64
"Programmer I",70
"Programmer II",69
"Programmer III",65
"Programmer IV",50
"Project Manager",269
"Quality Control Specialist",104
"Quality Engineer",52
Recruiter,184
"Recruiting Manager",19
"Relationshiop Manager",164
"Research Assistant",30
"Research Assistant I",408
"Research Assistant II",608
"Research Assistant III",15
"Research Assistant IV",6
"Research Associate",164
"Sales Associate",4
"Sales Representative",3
"Senior Attorney",32
"Senior Cost Accountant",248
"Senior Developer",281
"Senior Editor",120
"Senior Financial Analyst",47
"Senior Quality Engineer",114
"Senior Recruiter",165
"Senior Sales Associate",12
"Senior Trainer",147
"Service Coordinator",259
"Service Manager",267
"Service Tech",254
"Service Tech II",265
"Service Tech III",268
"Software Consultant",262
"Software Engineer I",308
"Software Engineer II",70
"Software Engineer III",82
"Software Engineer IV",70
"Software Test Engineer I",65
"Software Test Engineer II",53
"Software Test Engineer III",65
"Software Test Engineer IV",74
"Solutions Engineer",170
"Solutions Engineer Manager",164
"Staff Accountant I",364
"Staff Accountant II",65
"Staff Accountant III",77
"Staff Accountant IV",83
"Staff Scientist",26
"Statistician I",10
"Statistician II",10
"Statistician III",2
"Structural Analysis Engineer",36
"Structural Engineer",249
"Support Staff",75
"Support Staff II",45
"Support Staff III",16
"Systems Administrator I",302
"Systems Administrator II",54
"Systems Administrator III",72
"Systems Administrator IV",63
"Tax Accountant",230
"Trainer I",152
"Trainer II",149
"Trainer III",139
"Training Manager",149
"VP Accounting",65
"VP Marketing",38
"VP of Training and Development",1
"VP Product Management",31
"VP Quality Control",34
"VP Sales",5
"Web Designer I",27
"Web Designer II",3
"Web Designer III",10
"Web Designer IV",5
"Web Developer I",79
"Web Developer II",66
"Web Developer III",53
"Web Developer IV",58
